Departure,Flyby,Arrival,Delta_V
2019 April 3 at 13:55:60,2050 May 21 at 10:32:49,2054 May 29 at 22:28:47,8.71824854682879
2021 June 18 at 23:10:48,2051 September 25 at 03:57:04,2054 June 9 at 18:07:17,8.47389539032739
2024 March 6 at 10:23:05,2064 March 19 at 18:14:59,2067 October 18 at 07:35:48,8.14988297780119
2027 January 27 at 07:11:03,2064 May 29 at 20:27:18,2067 October 23 at 21:35:06,8.11307649743607
2027 December 23 at 22:28:16,2064 May 30 at 07:28:56,2067 October 23 at 22:23:39,8.11701691508968
2031 March 17 at 14:30:60,2076 January 28 at 10:44:55,2081 January 15 at 02:08:32,8.84295719635166
2031 August 26 at 11:24:16,2064 September 3 at 12:51:59,2067 November 2 at 18:20:01,8.29974293097962
2035 March 12 at 16:01:46,2076 April 13 at 00:03:22,2081 January 23 at 03:22:50,8.68289361191263
2036 September 23 at 17:50:33,2076 May 12 at 04:31:33,2081 January 26 at 09:46:09,8.63615068912356
2039 May 30 at 14:49:54,2088 September 7 at 02:48:48,2092 May 14 at 12:21:40,8.76357582642991
2041 April 30 at 14:13:18,2088 October 23 at 19:46:18,2092 May 19 at 02:48:33,8.70955422468518
2043 September 7 at 10:47:02,2088 September 21 at 15:26:46,2094 May 6 at 08:50:37,9.34665505906316
2045 May 28 at 15:01:50,2088 April 18 at 12:53:15,2092 May 1 at 04:57:41,8.6324274649489
2047 August 23 at 14:29:43,2088 October 17 at 21:21:04,2092 May 18 at 08:56:44,8.51443737879958
2050 January 24 at 04:05:21,2088 November 2 at 20:59:42,2092 May 19 at 18:19:18,8.49364195466915
2051 July 8 at 08:40:49,2088 July 1 at 18:31:11,2092 May 8 at 18:50:11,8.55696620179447
2052 August 8 at 19:56:05,2088 March 29 at 05:18:28,2092 April 29 at 23:43:00,8.6801385113389
2054 November 28 at 04:52:35,2089 April 23 at 03:47:24,2094 May 31 at 22:47:15,9.13011445376082
2057 June 19 at 20:42:36,2087 August 20 at 05:22:46,2092 April 8 at 07:26:14,9.3283223992214
2059 June 19 at 16:03:32,2089 May 21 at 14:17:03,2094 June 5 at 02:44:19,9.31903348454588
2061 April 25 at 04:33:58,2089 June 12 at 12:33:12,2094 June 7 at 17:47:04,9.50121138866905
2063 June 28 at 16:15:40,2101 October 16 at 03:40:49,2107 September 16 at 15:49:21,9.63501715293341
2065 March 23 at 21:19:49,2100 March 4 at 13:20:43,2105 July 24 at 18:28:39,9.51064996960932
2069 January 14 at 03:42:39,2100 September 24 at 10:22:08,2105 August 16 at 23:00:32,9.26856074935393
2069 May 16 at 03:34:41,2100 October 9 at 22:58:33,2105 August 19 at 01:08:19,9.26106456554272
2073 February 17 at 06:17:25,2101 January 13 at 02:56:05,2105 August 30 at 20:44:28,9.41873028006655
2074 January 6 at 07:03:02,2101 January 28 at 21:55:23,2105 September 1 at 01:23:04,9.49970749719797
2076 September 29 at 11:42:19,2114 December 4 at 16:38:59,2119 February 17 at 05:24:27,9.2611025782873
2079 April 1 at 08:06:17,2126 March 5 at 16:41:33,2130 April 25 at 18:38:30,9.63958762641835
2080 October 20 at 14:13:17,2115 February 6 at 03:31:44,2119 February 25 at 02:56:09,9.25235997171952
2082 June 19 at 21:47:49,2115 March 14 at 06:58:01,2119 March 1 at 06:18:02,9.30101316090482
2084 August 22 at 18:26:18,2116 November 1 at 01:36:22,2119 March 29 at 14:33:21,9.3778540038261
2087 September 14 at 14:27:59,2125 November 11 at 15:07:13,2130 April 13 at 12:13:48,9.88697073298692
2090 January 2 at 19:17:34,2127 August 25 at 01:52:55,2132 June 19 at 19:11:58,9.5876330421694
2090 December 10 at 04:52:30,2141 April 6 at 01:39:14,2143 November 7 at 08:45:18,9.32839329280559
2092 March 15 at 04:20:29,2141 April 1 at 17:23:24,2143 November 7 at 20:45:15,9.24267011020829
2095 March 4 at 19:35:00,2141 February 4 at 10:01:12,2143 November 4 at 08:48:18,9.06162303507341
2097 December 23 at 12:57:41,2140 January 22 at 05:21:40,2145 October 4 at 01:39:55,9.96090342053192
2100 May 3 at 14:47:44,2140 September 13 at 03:45:45,2143 November 17 at 10:57:08,9.24906469691005
2102 May 16 at 23:12:14,2140 March 31 at 20:39:09,2145 October 13 at 20:39:03,9.77692061176952
2103 July 12 at 12:00:27,2152 October 5 at 12:54:36,2157 February 16 at 00:17:14,9.59644332943615
2106 April 27 at 12:52:44,2154 December 12 at 00:54:28,2157 April 16 at 14:31:34,9.56125293752891
2108 May 11 at 01:19:11,2154 November 27 at 10:47:01,2157 April 16 at 10:11:29,9.36350741386177
2109 July 20 at 19:18:05,2140 May 10 at 15:01:16,2143 October 29 at 21:49:08,9.3488518194882
2112 May 23 at 13:37:21,2141 January 8 at 07:25:03,2143 October 31 at 05:56:56,9.31687744404659
2114 December 12 at 20:55:46,2153 May 21 at 17:52:02,2157 March 14 at 04:16:51,8.89961342378212
2116 June 1 at 06:46:30,2165 February 12 at 09:30:51,2168 June 1 at 07:31:39,9.15890716290771
2118 February 14 at 23:20:43,2153 July 12 at 12:13:04,2157 March 24 at 20:59:01,8.89235791734105
2121 May 7 at 06:07:13,2165 August 2 at 13:50:45,2170 June 27 at 13:00:52,9.36662673641262
2123 May 17 at 09:58:21,2168 May 25 at 17:04:10,2170 September 18 at 06:50:50,9.47250833110114
2123 September 5 at 13:22:05,2154 August 1 at 03:40:24,2157 April 10 at 17:14:36,8.99375729843744
2126 May 2 at 16:47:20,2153 December 1 at 15:11:43,2157 March 16 at 02:48:40,9.52933251039969
2128 March 13 at 15:59:56,2168 May 20 at 04:41:32,2170 September 17 at 16:40:52,9.08429031113789
2130 November 10 at 23:19:51,2168 April 19 at 01:41:15,2170 September 17 at 03:52:23,8.92993866561701
2132 August 31 at 21:53:32,2168 May 18 at 23:45:56,2170 September 18 at 02:49:02,8.91400639061556
2134 May 31 at 01:13:29,2168 May 14 at 21:26:49,2170 September 17 at 16:37:17,8.91343110925977
2137 May 30 at 23:04:06,2168 April 1 at 16:36:36,2170 September 16 at 08:24:23,9.02457008127496
2139 November 1 at 13:54:02,2179 June 3 at 01:11:45,2181 November 18 at 12:30:04,8.71496446438383
2141 July 23 at 04:42:26,2179 May 24 at 02:16:58,2181 November 19 at 00:55:21,8.7152481939375
2142 August 12 at 10:56:58,2192 October 6 at 00:51:38,2195 April 16 at 11:46:34,8.88434463907553
2145 May 1 at 18:31:11,2179 September 28 at 02:35:26,2181 November 25 at 16:29:35,9.10731827787612
2148 January 6 at 03:59:12,2192 July 14 at 21:56:40,2195 April 10 at 03:44:58,8.57850259455011
2148 November 10 at 00:57:20,2181 September 19 at 08:17:55,2184 February 12 at 03:15:02,9.03521376564914
2152 March 6 at 06:02:38,2181 October 2 at 12:44:08,2184 February 12 at 22:08:43,9.21048046430205
2154 June 15 at 22:36:48,2181 October 3 at 23:05:59,2184 February 12 at 17:18:13,9.48134567210578
2156 November 12 at 22:37:09,2206 March 8 at 15:56:51,2208 September 10 at 16:24:56,9.00626676264256
