Departure,Flyby,Arrival,Delta_V
2103 March 26 at 17:52:53,2140 May 4 at 23:44:10,2145 October 18 at 06:03:52,9.75968821695366
2105 April 21 at 02:01:57,2139 August 9 at 20:32:29,2143 September 18 at 01:41:58,9.49568376494936
2107 August 10 at 06:59:24,2154 December 3 at 00:03:28,2157 April 16 at 09:57:04,9.4342625455368
2109 January 12 at 19:05:42,2154 November 22 at 05:18:07,2157 April 16 at 09:33:22,9.30231368119626
2112 February 2 at 18:39:52,2140 July 14 at 15:00:12,2143 November 9 at 07:30:18,9.56110134249185
2114 December 12 at 22:14:46,2165 March 25 at 07:05:27,2168 May 30 at 03:32:37,9.18512123620224
2116 June 29 at 23:38:54,2165 February 12 at 03:21:20,2168 May 31 at 21:05:03,9.15737028774434
2117 December 27 at 21:05:38,2153 July 9 at 19:09:29,2157 March 24 at 07:20:23,8.88918699713876
2120 March 5 at 09:48:49,2165 July 10 at 02:48:25,2170 June 24 at 02:21:23,9.43431602610976
2122 March 7 at 00:41:35,2154 July 14 at 23:40:60,2157 April 9 at 04:57:38,8.88996713878586
2124 January 7 at 21:51:15,2165 September 23 at 11:34:57,2170 July 5 at 13:52:47,9.23187419488101
2126 March 29 at 18:13:33,2165 August 31 at 19:02:25,2172 June 9 at 12:42:49,9.85913855459536
2129 March 3 at 12:34:33,2178 January 23 at 05:09:36,2181 November 10 at 23:56:26,9.47317102957187
2131 May 23 at 09:35:18,2168 May 4 at 09:08:10,2170 September 16 at 19:46:24,8.9258536760033
2133 August 29 at 17:50:00,2168 April 4 at 17:55:49,2170 September 16 at 12:17:50,8.88230496260302
2134 January 11 at 12:55:22,2166 March 11 at 02:16:18,2170 August 3 at 09:21:50,9.18891873708425
2136 July 12 at 04:26:22,2168 April 21 at 21:10:47,2170 September 16 at 21:37:55,8.97197709822564
2140 February 16 at 09:47:42,2179 April 12 at 07:17:55,2181 November 15 at 20:36:21,8.69108592691725
2141 July 7 at 11:09:10,2179 May 22 at 14:42:37,2181 November 18 at 19:09:59,8.71361247723098
2142 July 24 at 12:48:01,2179 June 30 at 15:25:41,2181 November 21 at 21:30:51,8.77424869573346
2146 January 17 at 19:02:05,2181 September 28 at 06:40:02,2184 February 12 at 10:44:15,9.05834797945596
2147 October 4 at 00:19:17,2192 July 29 at 20:32:36,2195 April 11 at 17:53:49,8.57880214835389
2150 March 12 at 09:55:51,2192 March 27 at 15:55:32,2195 March 28 at 15:49:14,8.68522618597972
2151 October 10 at 03:33:43,2181 September 15 at 00:40:02,2184 February 12 at 04:39:56,9.17569130108028
2153 November 18 at 21:53:11,2191 April 23 at 18:53:56,2197 March 12 at 19:58:22,9.20645031528278
2155 October 15 at 00:55:05,2206 March 15 at 07:42:43,2208 September 11 at 19:01:30,9.1164037692066
2158 April 12 at 02:17:08,2191 June 27 at 13:48:56,2197 March 21 at 16:12:45,9.17949591997496
2159 October 30 at 22:10:04,2206 February 28 at 18:00:45,2208 September 10 at 00:17:26,8.74340439966164
2161 July 29 at 22:07:47,2206 February 8 at 07:05:36,2208 September 9 at 05:25:10,8.5949659399224
2163 December 21 at 09:27:18,2195 February 27 at 21:28:28,2197 July 2 at 20:06:03,9.61269232297562
2166 July 12 at 10:23:02,2206 January 14 at 14:49:57,2208 September 7 at 14:42:08,8.31596456330903
2168 October 30 at 00:51:44,2206 January 17 at 17:24:05,2208 September 7 at 20:27:29,8.25749595789826
2169 October 14 at 17:38:31,2206 January 18 at 05:13:60,2208 September 7 at 22:03:28,8.24940314391002
2173 June 30 at 02:55:53,2216 August 25 at 10:44:58,2221 November 13 at 12:48:59,8.81111892880164
2175 March 2 at 07:29:17,2205 December 3 at 04:01:43,2208 September 3 at 20:26:19,8.47554976878331
2176 January 21 at 00:09:12,2205 January 14 at 08:58:12,2208 September 7 at 17:20:27,8.86453370927581
2179 March 16 at 00:02:07,2205 November 2 at 06:28:15,2208 August 30 at 22:14:56,9.0408760710838
2181 September 20 at 18:11:51,2217 April 15 at 02:17:56,2221 December 8 at 02:29:53,8.47278557659641
2184 February 27 at 12:08:40,2217 May 17 at 06:38:14,2221 December 11 at 06:02:21,8.48729604108737
