Departure,Flyby,Arrival,Delta_V
2021 February 2 at 20:08:36,2051 August 18 at 21:19:49,2054 June 5 at 17:20:49,8.47259169608884
2022 January 14 at 20:44:49,2051 May 11 at 03:17:29,2054 June 30 at 09:32:08,8.80819217785549
2023 December 1 at 04:48:17,2064 March 16 at 11:13:53,2067 October 18 at 04:16:41,8.15623697530185
2026 July 31 at 09:22:49,2064 May 10 at 11:04:45,2067 October 22 at 10:29:26,8.11256692844913
2027 September 10 at 16:25:19,2064 May 23 at 10:45:24,2067 October 23 at 10:01:42,8.11414814037701
2029 October 21 at 02:37:29,2064 July 13 at 16:59:56,2067 October 27 at 09:58:20,8.16538832299508
2032 February 14 at 13:32:50,2064 May 29 at 06:52:27,2067 October 23 at 20:50:57,8.22933871352958
2034 July 2 at 10:37:02,2063 September 11 at 10:32:04,2069 September 18 at 06:41:18,9.26289501401207
2036 August 13 at 19:37:19,2076 May 10 at 02:12:53,2081 January 26 at 01:48:41,8.63917253728001
2039 November 30 at 16:20:30,2086 June 8 at 04:47:36,2092 February 20 at 02:27:05,10.0123028441886
2041 September 16 at 11:14:34,2089 May 16 at 04:48:30,2092 June 11 at 17:00:52,8.94222509802989
2044 January 23 at 22:17:53,2088 December 20 at 20:46:27,2092 May 25 at 04:35:57,8.64383487706483
2045 March 14 at 07:46:40,2088 April 24 at 07:53:16,2092 April 30 at 13:55:09,8.63046611723881
2047 January 8 at 21:33:59,2088 October 9 at 03:31:05,2092 May 17 at 06:14:48,8.52372018674193
2048 July 4 at 16:08:28,2088 April 4 at 04:42:53,2092 April 30 at 14:06:25,8.62902091835588
2052 February 16 at 03:17:21,2088 May 6 at 15:20:53,2092 May 4 at 03:59:33,8.62340451714236
2052 August 26 at 15:47:19,2088 March 26 at 15:37:15,2092 April 30 at 02:29:28,8.68524538719581
2055 June 29 at 05:15:03,2087 October 28 at 20:05:09,2092 April 15 at 17:15:23,9.04769868550998
2057 May 23 at 08:54:23,2087 August 22 at 12:11:47,2092 April 8 at 16:22:28,9.31732629467491
2059 October 3 at 03:35:05,2089 May 24 at 09:48:27,2094 June 5 at 08:32:23,9.34280255266808
2061 May 2 at 08:22:00,2089 June 5 at 05:25:58,2094 June 7 at 10:09:25,9.49927335305886
2062 December 21 at 19:22:08,2101 October 7 at 17:33:09,2107 September 15 at 13:41:11,9.64477432088525
2066 July 28 at 07:30:37,2101 December 1 at 19:36:38,2107 September 22 at 17:28:29,9.61221164295215
2068 August 17 at 09:24:21,2100 September 4 at 07:49:01,2105 August 15 at 00:52:29,9.28080905798876
2070 May 11 at 07:41:01,2100 November 23 at 00:48:49,2105 August 24 at 04:55:22,9.25347812829105
2072 January 13 at 11:27:04,2102 December 30 at 00:45:42,2105 November 23 at 08:16:03,9.70499830253123
2073 November 7 at 11:17:48,2101 February 8 at 14:30:57,2105 September 3 at 11:44:34,9.46684404928842
2077 June 29 at 21:21:48,2114 December 5 at 11:06:06,2119 February 17 at 12:31:01,9.24632987167608
2078 March 6 at 15:57:42,2126 February 18 at 05:45:46,2130 April 23 at 19:25:37,9.66320413721504
2081 September 14 at 08:43:39,2126 December 2 at 07:17:11,2130 May 26 at 05:58:32,9.46121207360984
2082 February 13 at 00:04:11,2126 December 9 at 23:56:51,2130 May 27 at 14:06:60,9.4551560087967
2084 February 29 at 01:16:14,2126 May 26 at 10:37:48,2130 May 5 at 00:25:42,9.53726525691188
2086 August 5 at 22:35:05,2115 April 27 at 15:12:21,2119 March 7 at 00:16:19,9.59376691877067
2089 October 10 at 15:53:37,2115 May 26 at 11:38:27,2119 March 10 at 08:57:09,10.0473054825251
2090 June 24 at 10:00:40,2130 June 29 at 21:09:14,2132 September 10 at 00:23:04,9.97732642106652
2092 October 9 at 00:02:48,2140 October 5 at 15:49:36,2143 October 10 at 14:43:28,9.45643986094334
2095 January 10 at 05:50:13,2141 February 13 at 07:39:24,2143 November 5 at 03:09:51,9.06289614495493
2097 August 21 at 03:19:03,2140 October 4 at 09:35:43,2143 November 20 at 13:22:27,9.3227735656655
2098 August 31 at 22:04:28,2130 June 4 at 18:44:18,2132 September 10 at 01:04:19,9.69237313259794
2102 July 2 at 07:42:40,2140 November 1 at 17:09:55,2143 October 16 at 18:28:10,9.09140782549164
