Departure,Flyby,Arrival,Delta_V
2020 July 23 at 00:07:19,2050 December 24 at 04:19:23,2054 June 18 at 06:47:05,8.63652364116015
2021 October 23 at 10:27:36,2063 December 13 at 18:47:47,2067 October 12 at 04:04:36,8.25000946248779
2025 January 5 at 02:14:55,2064 February 29 at 08:39:24,2067 October 17 at 00:06:10,8.14012455757887
2027 January 27 at 10:44:34,2064 May 10 at 19:42:21,2067 October 22 at 09:56:04,8.11163541444213
2027 December 23 at 10:50:33,2064 June 16 at 06:30:18,2067 October 25 at 17:08:21,8.12059325525887
2030 November 24 at 17:38:18,2064 April 27 at 18:52:55,2067 October 21 at 08:14:50,8.17126829074147
2033 March 22 at 17:58:42,2064 June 27 at 18:54:46,2067 October 27 at 00:32:50,8.31205553978538
2034 July 4 at 02:55:45,2075 December 29 at 13:06:55,2082 December 19 at 17:25:46,9.50031849766149
2036 January 19 at 23:35:38,2076 April 29 at 09:59:16,2081 January 24 at 20:31:53,8.6554755723334
2037 December 19 at 12:40:50,2088 December 18 at 15:48:30,2092 May 24 at 12:02:01,8.85051891560794
2041 July 6 at 21:13:39,2076 August 7 at 11:00:59,2081 February 4 at 13:57:43,8.58337344897927
2043 June 15 at 21:30:47,2088 December 9 at 15:06:35,2092 May 23 at 23:31:38,8.65796976262231
2045 November 10 at 11:34:45,2088 April 30 at 09:40:23,2092 May 3 at 01:06:44,8.61726960543395
2047 June 5 at 03:07:23,2088 July 1 at 13:05:42,2092 May 8 at 08:17:53,8.55336959833442
2050 January 23 at 09:51:30,2088 December 30 at 22:15:32,2092 May 25 at 18:01:39,8.50827024982545
2051 January 4 at 02:21:54,2088 June 1 at 00:32:02,2092 May 6 at 03:27:53,8.57983237770479
2054 March 1 at 06:58:59,2087 December 27 at 06:42:10,2092 April 21 at 13:53:51,8.87363013082334
2055 February 25 at 10:45:43,2087 November 11 at 16:00:50,2092 April 16 at 18:23:03,9.00210626801964
2058 February 5 at 10:51:01,2087 August 2 at 09:09:31,2092 April 7 at 12:13:28,9.42436573097872
2058 December 16 at 07:46:18,2101 July 29 at 11:57:42,2107 September 6 at 07:17:55,9.75784145849199
2062 August 9 at 07:07:40,2101 October 1 at 18:02:17,2107 September 14 at 19:36:58,9.65267003254901
