Departure,Flyby,Arrival,Delta_V
2144 December 7 at 06:30:21,2181 October 8 at 13:26:38,2184 February 12 at 10:46:58,9.10766735180548
2147 May 24 at 00:42:59,2192 May 1 at 23:28:29,2195 April 2 at 22:33:44,8.70252077947134
2149 October 13 at 23:52:23,2192 May 7 at 18:40:09,2195 April 3 at 08:07:35,8.61495753876703
2151 August 2 at 04:29:19,2178 December 12 at 21:38:47,2183 December 6 at 18:16:14,9.65830374589339
2154 June 21 at 08:30:39,2181 September 28 at 04:52:14,2184 February 12 at 10:21:02,9.48445860584035
2155 November 14 at 23:43:19,2206 March 14 at 09:14:40,2208 September 10 at 21:52:38,9.10710028167309
2158 May 3 at 05:12:06,2203 September 10 at 19:34:30,2208 July 16 at 05:51:10,9.09310032214845
2160 September 17 at 04:54:04,2206 March 5 at 08:11:33,2208 September 10 at 05:30:03,8.68028915275499
2162 June 11 at 17:53:47,2192 August 7 at 13:07:24,2195 April 11 at 22:06:08,8.72813302150805
2164 March 22 at 14:28:00,2204 February 7 at 03:28:12,2208 August 3 at 06:00:15,8.76476144264731
2166 April 26 at 01:50:33,2216 January 31 at 14:53:51,2219 November 16 at 04:34:41,9.23663034811458
2169 July 1 at 04:00:53,2204 June 20 at 09:31:10,2208 August 18 at 00:47:52,8.61223473013849
2169 August 3 at 03:35:29,2217 April 10 at 22:34:32,2219 November 14 at 07:35:41,8.5494450573861
2173 May 11 at 07:05:58,2216 August 22 at 08:33:21,2221 November 13 at 02:22:30,8.81958497243996
2174 March 29 at 11:18:03,2205 December 12 at 15:10:49,2208 September 4 at 21:42:12,8.39675556908556
2177 February 20 at 05:19:40,2216 November 26 at 18:22:12,2221 November 23 at 14:39:46,8.6139536568888
2179 December 28 at 18:25:39,2229 March 5 at 10:13:43,2233 March 13 at 21:50:00,8.64266982316863
2180 December 7 at 08:25:53,2216 November 3 at 13:06:42,2223 October 26 at 16:10:19,9.21359257677773
2183 August 19 at 11:39:27,2219 August 14 at 02:53:49,2222 January 19 at 10:32:16,9.12249686941188
