Departure,Flyby,Arrival,Delta_V
2144 July 5 at 09:40:25,2159 November 17 at 01:05:49,2161 September 24 at 07:04:57,16.1848344424745
2146 December 22 at 15:58:01,2163 May 2 at 21:35:52,2170 January 15 at 00:09:28,15.6676091790115
2149 July 18 at 01:00:54,2166 February 13 at 00:10:48,2170 July 30 at 01:51:22,12.8367243714661
2151 October 9 at 14:23:52,2168 May 15 at 13:50:03,2170 September 17 at 19:19:53,13.3904550435534
2154 May 10 at 20:41:06,2170 November 26 at 23:34:37,2172 December 5 at 10:57:15,14.2930385924787
2154 December 11 at 07:10:39,2170 November 27 at 15:42:52,2172 December 5 at 17:49:12,14.7072443530873
2159 February 15 at 22:37:56,2175 September 30 at 14:53:33,2181 July 7 at 06:45:33,15.1516764807732
2161 January 20 at 11:24:50,2177 September 4 at 02:42:19,2181 October 15 at 09:56:51,12.6115247573376
2162 June 26 at 09:56:40,2179 February 8 at 02:12:18,2181 November 10 at 15:26:41,12.5890414285436
2163 April 24 at 00:02:58,2179 July 5 at 21:56:50,2181 November 20 at 00:27:12,12.9859121004024
2165 August 19 at 13:18:37,2181 November 6 at 16:34:55,2184 February 13 at 06:56:23,13.7141958464501
2168 January 13 at 02:41:37,2184 May 8 at 09:36:41,2186 April 20 at 07:47:47,15.0461973114085
2171 September 4 at 05:18:58,2188 April 17 at 21:34:35,2194 October 26 at 02:17:32,15.3305732561055
2173 May 1 at 08:25:12,2189 December 13 at 16:48:57,2195 January 23 at 18:44:22,12.6453935267011
2175 February 13 at 18:22:38,2191 July 31 at 06:56:53,2197 March 26 at 02:21:14,12.9275563932124
2176 January 13 at 03:18:26,2191 July 3 at 21:14:34,2197 March 22 at 03:12:49,13.4832049285468
2178 September 7 at 17:25:13,2195 April 22 at 09:34:50,2197 July 2 at 10:15:59,13.786053933954
2180 January 15 at 21:02:14,2195 April 20 at 19:25:46,2197 July 2 at 15:02:48,14.8251225241615
2182 April 21 at 07:07:11,2197 October 31 at 06:02:42,2199 September 6 at 22:49:21,16.4246712184186
