Departure,Flyby,Arrival,Delta_V
2145 May 9 at 15:41:19,2192 September 10 at 03:11:04,2195 April 15 at 00:06:24,8.69778809819775
2148 January 6 at 03:59:12,2192 July 14 at 21:56:40,2195 April 10 at 03:44:58,8.57850259455011
2149 May 21 at 17:47:33,2192 May 31 at 13:56:41,2195 April 5 at 21:55:60,8.58798997445392
2151 October 10 at 03:33:43,2181 September 15 at 00:40:02,2184 February 12 at 04:39:56,9.17569130108028
2153 November 18 at 21:53:11,2191 April 23 at 18:53:56,2197 March 12 at 19:58:22,9.20645031528278
2156 November 12 at 22:37:09,2206 March 8 at 15:56:51,2208 September 10 at 16:24:56,9.00626676264256
2157 March 21 at 11:33:49,2192 April 3 at 21:05:10,2195 March 29 at 14:16:48,8.63305868923075
2160 June 20 at 05:43:33,2192 June 20 at 13:18:10,2195 April 7 at 06:27:06,8.62687068266681
2162 March 31 at 17:58:37,2206 January 22 at 06:27:31,2208 September 8 at 04:01:50,8.54120840350326
2163 June 3 at 18:22:59,2206 January 26 at 10:16:52,2208 September 8 at 13:43:02,8.46858029020729
2166 July 12 at 10:23:02,2206 January 14 at 14:49:57,2208 September 7 at 14:42:08,8.31596456330903
2168 October 30 at 00:51:44,2206 January 17 at 17:24:05,2208 September 7 at 20:27:29,8.25749595789826
2169 October 14 at 17:38:31,2206 January 18 at 05:13:60,2208 September 7 at 22:03:28,8.24940314391002
2173 August 4 at 14:04:41,2205 December 5 at 09:56:12,2208 September 3 at 23:22:34,8.36456195566553
2174 March 29 at 11:18:03,2205 December 12 at 15:10:49,2208 September 4 at 21:42:12,8.39675556908556
2177 February 20 at 05:19:40,2216 November 26 at 18:22:12,2221 November 23 at 14:39:46,8.6139536568888
2178 October 17 at 01:10:51,2217 January 16 at 08:34:41,2221 November 28 at 22:00:43,8.54625356529877
2181 September 20 at 18:11:51,2217 April 15 at 02:17:56,2221 December 8 at 02:29:53,8.47278557659641
2182 July 18 at 11:11:33,2217 April 29 at 18:34:32,2221 December 9 at 12:24:38,8.46817733260894
