Departure,Flyby,Arrival,Delta_V
2019 December 13 at 23:18:48,2036 July 24 at 02:47:01,2040 December 19 at 15:43:43,12.9157322693802
2022 February 16 at 10:34:24,2038 March 24 at 07:50:46,2043 February 8 at 16:40:02,12.7213560846595
2023 March 9 at 01:50:43,2038 March 3 at 20:53:35,2043 February 5 at 22:02:52,13.4037239499867
2025 September 25 at 13:31:25,2040 November 16 at 00:52:14,2043 April 8 at 23:23:08,14.3769283858027
2027 September 29 at 16:15:53,2043 July 3 at 17:34:43,2045 June 12 at 04:06:31,15.7639084865039
2031 July 20 at 06:40:21,2048 March 2 at 22:55:32,2054 February 13 at 19:58:34,13.8696763306795
2033 May 29 at 23:23:04,2050 January 11 at 15:21:04,2054 May 15 at 14:35:30,12.1601015872345
2033 September 9 at 12:28:04,2049 December 8 at 11:34:48,2054 May 11 at 07:38:05,12.3740118863686
2035 September 25 at 05:19:36,2050 December 16 at 07:31:57,2056 May 29 at 04:12:25,13.2488248640413
2037 November 5 at 09:48:58,2054 June 7 at 18:02:04,2056 August 16 at 13:38:28,14.243787597068
2040 June 21 at 06:08:29,2057 January 21 at 08:49:42,2058 November 11 at 21:06:51,15.8115337580061
2042 July 17 at 01:56:17,2057 January 10 at 23:20:34,2058 November 12 at 17:31:39,17.3216504598174
2045 February 5 at 06:03:28,2061 September 19 at 21:52:15,2067 July 18 at 13:40:34,12.5191566926349
2047 December 4 at 09:25:45,2064 June 22 at 14:20:37,2067 October 26 at 21:15:02,12.2972652549892
2048 April 12 at 08:15:03,2064 June 6 at 02:02:34,2067 October 24 at 10:32:18,12.5212949965443
2050 May 16 at 09:33:57,2064 June 13 at 22:45:06,2067 October 24 at 17:08:38,14.1180105288426
2052 August 17 at 20:51:23,2067 December 31 at 11:13:05,2070 January 12 at 12:41:30,15.7558715844362
2056 July 31 at 23:12:42,2073 March 6 at 14:42:32,2078 October 13 at 16:02:02,15.0271624012485
2056 September 27 at 12:35:19,2073 March 9 at 00:42:18,2078 October 14 at 08:29:59,15.0925725772554
2060 October 1 at 09:35:52,2076 August 9 at 23:28:55,2081 February 5 at 17:29:04,12.7175861769014
2061 January 4 at 19:20:28,2076 August 13 at 05:58:16,2081 February 4 at 20:43:25,12.88333176545
2063 January 28 at 04:40:06,2076 June 14 at 00:14:39,2081 January 29 at 21:30:54,14.4983564411045
2065 July 4 at 12:27:09,2081 August 1 at 04:06:47,2083 June 22 at 15:37:30,15.5672442379848
2069 March 12 at 02:43:50,2085 October 24 at 18:58:45,2092 January 23 at 12:48:33,14.9643971740005
2071 January 18 at 21:09:27,2087 September 2 at 08:48:45,2092 April 8 at 18:16:11,12.341191597945
2072 January 4 at 00:26:49,2087 December 2 at 19:04:48,2092 April 19 at 22:26:24,12.579644894172
2073 June 30 at 12:13:16,2088 May 12 at 03:04:37,2092 May 4 at 04:43:24,13.1048924941026
2075 June 20 at 19:49:51,2090 March 4 at 20:40:16,2092 May 20 at 16:09:54,14.4221214494737
2078 July 21 at 08:29:05,2095 January 30 at 17:36:14,2096 November 30 at 22:13:15,15.63498049226
