Departure,Flyby,Arrival,Delta_V
2019 November 11 at 19:13:38,2036 June 25 at 10:30:17,2040 December 14 at 12:12:27,12.9429934608913
2022 January 7 at 16:57:30,2038 March 1 at 09:03:49,2043 February 5 at 15:44:58,12.6776996897197
2023 August 5 at 21:15:02,2038 November 4 at 08:07:60,2041 January 25 at 14:41:35,13.4801782297217
2025 April 21 at 12:19:50,2040 November 6 at 19:58:35,2043 April 9 at 05:55:56,14.0413533282766
2027 August 2 at 08:58:57,2043 July 4 at 10:46:35,2045 June 12 at 02:14:13,15.6443846825001
2031 July 20 at 06:40:41,2048 March 2 at 22:56:09,2054 February 13 at 20:13:52,13.8696738502128
2033 July 4 at 05:19:58,2050 January 8 at 04:06:06,2054 May 15 at 13:54:25,12.2159809467499
2033 October 15 at 04:31:39,2049 December 26 at 09:22:38,2054 May 14 at 00:24:11,12.3881054524036
2035 September 25 at 03:06:10,2050 December 8 at 01:58:05,2056 May 28 at 04:41:06,13.2536550502436
2038 May 23 at 17:41:33,2054 June 6 at 03:42:56,2056 August 16 at 16:42:26,14.6433811515546
2040 August 8 at 23:16:37,2057 January 21 at 08:59:54,2058 November 13 at 12:51:35,15.892266573625
2044 February 5 at 13:22:01,2060 September 19 at 05:37:41,2067 May 31 at 21:22:32,14.0219221336716
2045 February 5 at 00:55:25,2061 September 19 at 16:38:06,2067 July 18 at 17:31:50,12.5193048607981
2048 January 18 at 00:27:51,2064 June 1 at 10:01:25,2067 October 23 at 17:32:25,12.3715747892399
2048 April 12 at 09:15:28,2064 June 2 at 03:33:44,2067 October 23 at 22:33:30,12.5214458981335
2050 May 16 at 08:32:11,2064 May 20 at 16:14:26,2067 October 22 at 18:58:04,14.1237459764566
2052 August 31 at 00:44:54,2067 December 31 at 06:06:56,2070 January 12 at 14:16:22,15.7863644887868
2056 July 22 at 03:49:47,2073 March 5 at 18:09:36,2078 October 13 at 05:03:54,15.0166369307028
2056 December 30 at 16:22:41,2073 March 12 at 23:33:49,2078 October 15 at 01:18:01,15.198504938749
2060 June 7 at 05:08:58,2076 September 30 at 00:00:37,2081 February 11 at 07:17:28,12.5033022349962
2060 October 29 at 20:08:12,2076 September 19 at 06:51:60,2081 February 9 at 00:00:19,12.7511211643975
2063 January 9 at 00:06:50,2076 June 15 at 13:17:23,2081 January 29 at 17:05:11,14.4503405754158
2065 March 29 at 12:27:42,2081 August 2 at 13:31:02,2083 June 22 at 18:23:60,15.3810141916631
2069 March 12 at 02:43:58,2085 October 24 at 18:58:50,2092 January 23 at 12:49:53,14.9643968491615
2071 March 13 at 01:02:21,2087 September 18 at 14:55:55,2092 April 12 at 10:35:35,12.3666248381252
2071 July 1 at 08:13:26,2087 October 13 at 13:02:20,2092 April 14 at 21:20:13,12.4461487164085
2073 September 30 at 15:00:26,2088 September 26 at 09:54:42,2092 May 18 at 18:46:55,13.09668869916
2075 November 18 at 04:37:46,2092 June 26 at 21:39:11,2094 August 20 at 04:22:33,14.3583854679765
2078 July 1 at 10:56:06,2095 January 28 at 07:32:31,2096 November 30 at 20:38:42,15.6061208719114
2079 September 27 at 08:07:39,2095 February 11 at 18:07:11,2096 November 29 at 00:05:07,16.4117208740364
2083 August 24 at 20:51:19,2100 April 8 at 12:04:57,2105 July 30 at 04:18:60,12.6221507797976
2084 June 17 at 14:07:24,2100 November 10 at 00:57:48,2105 August 24 at 15:09:56,12.4837988638697
2086 September 15 at 04:12:23,2101 December 23 at 04:08:30,2107 September 25 at 12:47:27,13.9217776601992
2088 January 7 at 02:27:08,2101 December 11 at 07:11:50,2107 September 24 at 01:43:17,14.8322029899119
2090 February 9 at 03:19:28,2106 February 1 at 13:22:28,2108 February 2 at 13:36:59,15.1233194599271
2092 March 18 at 14:06:38,2108 August 1 at 09:16:39,2110 May 8 at 09:13:22,15.9242100477948
2096 February 16 at 22:50:37,2112 October 1 at 13:44:11,2118 November 10 at 11:15:32,13.1247225965942
2096 July 18 at 01:54:36,2112 September 20 at 13:42:46,2118 November 9 at 09:23:43,13.3645268642403
2098 November 16 at 23:57:27,2115 April 2 at 20:20:58,2119 March 4 at 06:27:36,13.1685876391119
2100 August 24 at 00:04:38,2116 November 12 at 04:43:33,2119 March 30 at 07:06:16,13.9710652718153
2103 January 26 at 04:22:42,2119 August 9 at 03:46:09,2121 July 10 at 12:19:40,14.9029754155038
2105 May 3 at 02:04:35,2121 December 15 at 18:07:21,2123 October 7 at 03:35:16,15.9449304035428
2107 December 27 at 06:18:28,2124 July 12 at 04:45:34,2130 April 5 at 05:29:04,16.4979029913867
2110 June 2 at 14:24:47,2124 November 10 at 20:05:58,2130 March 29 at 11:12:06,16.1963588430379
2111 May 29 at 12:30:27,2127 September 27 at 01:29:40,2132 June 24 at 09:40:50,13.318861954776
2113 March 31 at 10:53:12,2127 August 26 at 09:51:16,2132 June 20 at 15:37:36,14.510618690127
2116 June 6 at 03:34:16,2133 January 14 at 15:18:55,2134 December 13 at 22:48:42,14.8464143885323
2117 June 16 at 17:43:07,2133 January 23 at 21:24:20,2134 December 13 at 12:02:54,15.543319720163
2121 June 25 at 02:31:51,2138 February 6 at 18:45:57,2143 July 19 at 05:07:08,13.9190816715195
2123 March 20 at 14:13:28,2139 November 2 at 06:11:42,2143 October 7 at 07:46:21,12.8308035213519
2124 January 12 at 15:23:58,2140 July 8 at 06:01:42,2145 October 27 at 15:09:26,13.4032322402218
2125 September 5 at 20:18:55,2139 March 4 at 17:39:29,2143 September 2 at 15:18:36,14.9369321886327
2129 October 26 at 04:47:24,2146 June 9 at 19:51:44,2148 May 7 at 21:52:53,14.9126936129645
2129 November 5 at 15:07:30,2146 June 20 at 07:22:13,2148 May 7 at 03:00:49,14.9129584660006
2134 January 11 at 09:15:44,2150 August 26 at 01:29:11,2156 November 5 at 06:14:04,14.2865892458076
2134 September 28 at 21:45:40,2151 March 29 at 07:40:18,2156 December 4 at 08:12:21,13.5843399209556
2137 June 24 at 22:07:07,2153 July 28 at 10:03:11,2157 March 28 at 16:28:58,13.0412815539861
2138 March 19 at 04:46:03,2154 October 4 at 14:09:02,2157 April 14 at 02:26:00,13.2935377775076
2140 November 18 at 11:53:33,2157 June 30 at 09:27:16,2159 July 16 at 00:24:38,14.1144037415701
2142 June 15 at 00:46:46,2157 June 23 at 16:40:29,2159 July 15 at 21:03:50,15.3422551437622
2144 December 18 at 09:17:04,2159 November 15 at 21:04:55,2161 September 23 at 12:15:37,16.5245004782632
2146 December 22 at 15:58:01,2163 May 2 at 21:35:52,2170 January 15 at 00:09:28,15.6676091790115
2149 August 27 at 15:11:30,2166 February 18 at 19:04:56,2170 July 31 at 10:12:16,12.9015903451665
2151 December 6 at 12:27:39,2168 May 16 at 15:01:09,2170 September 18 at 16:47:46,13.4985381326117
2154 May 10 at 20:41:06,2170 November 26 at 23:34:37,2172 December 5 at 10:57:15,14.2930385924787
2154 December 14 at 15:10:26,2170 November 27 at 05:59:54,2172 December 4 at 19:55:06,14.714448351607
2159 February 15 at 22:37:33,2175 September 30 at 14:52:52,2181 July 7 at 06:44:52,15.1516796158636
