Departure,Flyby,Arrival,Delta_V
2019 November 29 at 23:57:43,2036 July 13 at 13:45:32,2040 December 16 at 16:15:52,12.9201573568109
2022 June 13 at 11:02:57,2038 March 9 at 14:30:02,2043 February 6 at 13:51:43,12.9265974611944
2024 April 12 at 06:34:04,2040 October 15 at 08:08:59,2043 April 8 at 19:32:31,13.3108654600767
2025 May 6 at 03:08:38,2040 October 17 at 20:01:58,2043 April 8 at 16:43:42,14.1122493612694
2027 September 21 at 14:08:32,2043 July 4 at 00:30:25,2045 June 12 at 10:40:20,15.7464442034747
2031 July 20 at 06:40:57,2048 March 2 at 22:55:46,2054 February 13 at 20:18:32,13.8696757460787
2033 July 3 at 15:28:05,2049 December 30 at 04:25:15,2054 May 14 at 11:37:20,12.2329169997685
2034 June 21 at 13:11:46,2050 November 16 at 05:50:21,2056 May 25 at 05:30:23,12.5006125570277
2035 December 25 at 18:36:34,2050 October 4 at 21:23:35,2056 May 20 at 22:21:60,13.4582127143476
2038 November 8 at 06:06:32,2054 June 4 at 08:12:14,2056 August 16 at 06:32:02,15.0083024579227
2040 June 22 at 01:01:48,2057 January 21 at 18:44:35,2058 November 12 at 12:53:04,15.811962097127
2042 June 9 at 21:03:27,2057 January 11 at 15:34:06,2058 November 13 at 04:06:34,17.2330698853448
2045 May 9 at 04:43:49,2061 September 9 at 04:07:33,2067 July 17 at 01:13:17,12.6851102091876
2046 December 16 at 21:33:46,2063 July 31 at 10:04:33,2069 September 13 at 11:14:29,12.5702344680522
2048 April 12 at 10:14:20,2064 July 8 at 21:22:35,2067 October 27 at 07:01:35,12.5253186281172
2050 May 16 at 04:42:32,2064 July 12 at 00:37:11,2067 October 27 at 15:52:03,14.1147162519372
2052 July 12 at 17:52:32,2068 January 1 at 00:45:34,2070 January 13 at 23:36:21,15.6746605179864
2056 July 21 at 21:53:35,2073 March 5 at 13:51:23,2078 October 13 at 01:45:03,15.016515174376
2057 January 8 at 07:54:22,2073 March 13 at 13:05:34,2078 October 15 at 06:40:12,15.2085195223096
2060 July 3 at 16:35:41,2076 October 16 at 17:33:46,2081 February 12 at 03:46:05,12.5417696073143
2060 November 25 at 20:47:33,2076 August 6 at 09:41:18,2081 February 3 at 08:44:39,12.8158679042657
2063 October 22 at 00:23:28,2079 January 11 at 05:28:23,2081 March 13 at 08:09:23,15.3282030555913
2065 May 6 at 16:42:04,2081 August 2 at 03:22:39,2083 June 22 at 08:52:46,15.4529232599338
2069 March 12 at 02:43:53,2085 October 24 at 18:59:32,2092 January 23 at 12:45:33,14.9643930764767
2071 January 24 at 14:13:43,2087 September 8 at 06:28:41,2092 April 10 at 20:46:52,12.3325556612985
2071 April 28 at 20:28:28,2087 September 29 at 00:11:51,2092 April 13 at 15:34:44,12.4004308153433
2073 June 5 at 04:45:39,2088 April 9 at 05:26:09,2092 April 30 at 13:37:56,13.1194843399559
2075 June 20 at 21:05:03,2088 December 27 at 23:05:51,2092 May 25 at 13:52:45,14.2959274255988
2078 June 4 at 01:09:41,2095 January 16 at 11:56:58,2096 November 30 at 04:11:60,15.5861196794798
2080 March 29 at 10:37:59,2095 February 9 at 06:43:38,2096 November 30 at 09:50:18,16.8091490815319
2083 October 21 at 23:24:59,2100 June 5 at 10:58:17,2105 August 5 at 06:08:52,12.530169180469
2083 December 29 at 13:47:42,2100 August 13 at 04:18:40,2105 August 14 at 00:00:46,12.4450906641477
2086 April 10 at 23:50:20,2101 December 30 at 15:10:16,2107 September 27 at 02:43:48,13.6577954458158
2089 November 28 at 05:08:53,2106 January 28 at 05:34:15,2108 February 2 at 11:43:23,14.9843434683681
2090 July 3 at 23:14:05,2106 February 2 at 17:28:60,2108 February 2 at 02:00:46,15.4254171383694
2092 March 14 at 03:30:40,2108 August 12 at 16:52:37,2110 May 8 at 06:05:10,15.9100226418829
2096 February 16 at 23:52:13,2112 October 1 at 16:04:16,2118 November 10 at 06:52:06,13.1245526121019
2096 August 25 at 15:16:49,2112 September 17 at 17:40:09,2118 November 8 at 19:57:48,13.4277647853916
2098 July 12 at 04:29:35,2115 February 23 at 19:20:25,2119 February 27 at 01:06:37,12.9736436450948
2100 August 4 at 01:10:10,2115 January 23 at 09:44:57,2119 February 22 at 18:09:03,14.3602275073797
2103 April 1 at 07:02:23,2119 August 15 at 06:15:30,2121 July 10 at 17:51:21,15.0143021097459
2105 July 24 at 19:11:32,2121 December 7 at 13:17:36,2123 October 8 at 12:01:10,16.077698937773
2106 November 4 at 01:05:48,2122 January 10 at 01:51:39,2123 October 6 at 04:04:13,16.7985267442079
2110 October 5 at 03:58:43,2124 November 7 at 16:34:59,2130 March 16 at 14:44:17,16.0992633357086
2111 March 27 at 20:01:51,2127 September 29 at 11:23:28,2132 June 24 at 17:51:60,13.2219842824309
2113 October 9 at 21:55:53,2130 May 24 at 14:11:25,2132 September 10 at 03:24:22,14.0131827238866
2116 June 4 at 08:56:29,2133 January 17 at 01:10:59,2134 December 12 at 20:42:35,14.8381191672206
2117 November 4 at 02:50:03,2133 January 21 at 16:19:38,2134 December 13 at 17:06:22,15.8464921859769
2121 June 25 at 02:34:53,2138 February 6 at 18:49:23,2143 July 19 at 03:35:14,13.9190712249189
2123 February 14 at 02:34:35,2139 September 28 at 14:20:48,2143 October 4 at 01:13:47,12.8402196210706
2123 October 30 at 19:42:35,2140 June 13 at 11:53:50,2145 October 23 at 23:21:59,13.2970751932128
2127 July 21 at 16:17:10,2144 January 22 at 23:42:24,2146 February 15 at 16:25:54,14.223581976951
2127 December 4 at 02:44:41,2144 January 18 at 17:46:54,2146 February 15 at 02:40:01,14.4983376394824
2129 November 5 at 15:08:29,2146 June 20 at 07:19:02,2148 May 7 at 03:29:60,14.9129622097149
2134 January 11 at 09:12:04,2150 August 26 at 01:26:43,2156 November 5 at 04:31:33,14.2865932266059
2134 September 15 at 00:35:27,2151 March 30 at 20:35:18,2156 December 4 at 12:41:02,13.5596907395162
2136 September 25 at 19:51:32,2153 March 4 at 02:32:41,2159 February 22 at 03:51:43,13.4284031981105
2138 May 5 at 10:45:01,2154 September 22 at 14:50:30,2157 April 13 at 05:52:15,13.3829107483119
2141 January 18 at 20:30:59,2157 June 25 at 09:01:55,2159 July 17 at 01:29:32,14.2420487908181
2142 September 16 at 07:19:16,2157 June 22 at 21:15:57,2159 July 16 at 07:52:53,15.570415009519
2144 July 22 at 05:07:35,2159 November 18 at 23:53:43,2161 September 24 at 05:42:36,16.2138114119225
2148 February 22 at 06:58:52,2163 February 8 at 19:59:17,2168 April 8 at 11:23:18,16.5140532943094
2149 October 21 at 12:53:01,2166 February 13 at 18:24:10,2170 July 29 at 12:06:44,12.985203550101
2150 October 5 at 10:11:52,2166 January 17 at 18:43:41,2170 July 25 at 06:26:35,13.5650181994776
2153 February 11 at 19:20:03,2168 May 17 at 05:11:31,2170 September 18 at 21:53:59,14.4039887350164
2154 December 11 at 07:10:39,2170 November 27 at 15:42:52,2172 December 5 at 17:49:12,14.7072443530873
2159 February 15 at 22:37:56,2175 September 30 at 14:53:33,2181 July 7 at 06:45:33,15.1516764807732
2160 December 19 at 20:33:28,2177 August 3 at 09:03:06,2181 October 9 at 10:20:45,12.6198336373051
2162 August 23 at 09:26:26,2179 January 6 at 19:39:30,2181 November 8 at 00:49:14,12.737621875771
2163 April 25 at 19:44:37,2178 November 28 at 18:30:05,2181 November 3 at 18:09:28,13.2302867591436
2165 September 22 at 09:59:57,2181 November 6 at 07:41:46,2184 February 13 at 05:38:26,13.7833543362489
2167 July 15 at 02:25:11,2181 October 31 at 17:04:38,2184 February 13 at 18:00:24,15.3340713882876
2171 September 4 at 05:18:59,2188 April 17 at 21:34:05,2194 October 26 at 02:17:55,15.3305760200691
