Departure,Flyby,Arrival,Delta_V
2144 August 29 at 11:12:26,2159 November 17 at 13:15:49,2161 September 22 at 05:30:23,16.2926577327028
2147 February 14 at 08:33:47,2163 May 1 at 20:51:17,2170 January 13 at 22:45:20,15.7920975339259
2149 July 18 at 01:00:54,2166 February 13 at 00:10:48,2170 July 30 at 01:51:22,12.8367243714661
2150 October 5 at 10:27:34,2166 January 17 at 18:44:23,2170 July 25 at 06:41:42,13.5650378460168
2152 December 30 at 21:24:31,2168 May 17 at 04:24:57,2170 September 18 at 20:09:04,14.3071321583036
2155 March 14 at 02:57:42,2170 November 25 at 23:25:21,2172 December 5 at 08:17:11,14.9021872049795
2157 February 1 at 22:56:14,2173 April 30 at 21:05:53,2175 February 6 at 12:34:06,16.5784534220464
2160 October 14 at 03:41:52,2177 May 28 at 15:07:53,2181 September 29 at 04:24:24,12.6864587730366
2162 June 26 at 09:56:40,2179 February 8 at 02:12:18,2181 November 10 at 15:26:41,12.5890414285436
2163 April 23 at 17:43:11,2179 February 7 at 01:23:20,2181 November 10 at 09:08:05,13.0979089228831
2165 December 2 at 01:34:11,2181 November 6 at 00:32:05,2184 February 13 at 04:54:17,13.9295462882005
2168 June 24 at 04:36:00,2184 May 6 at 06:04:10,2186 April 21 at 10:28:36,15.3648890158927
2171 September 4 at 05:18:40,2188 April 17 at 21:34:07,2194 October 26 at 02:14:20,15.3305755048392
2173 May 6 at 09:10:31,2189 December 13 at 11:55:40,2195 January 23 at 06:14:15,12.6541148642924
2173 November 9 at 09:53:29,2189 November 7 at 07:54:20,2195 January 17 at 23:47:32,13.0250342598308
2176 April 19 at 11:19:04,2191 May 23 at 06:04:49,2197 March 16 at 12:24:40,13.6654354689916
2179 March 12 at 18:19:49,2195 April 23 at 21:11:32,2197 July 2 at 11:56:25,14.148549826243
2180 August 22 at 05:06:56,2195 April 18 at 03:13:31,2197 July 2 at 22:58:24,15.3614365026019
2182 April 28 at 18:40:32,2197 October 31 at 02:00:22,2199 September 6 at 16:08:21,16.4398230611637
